"ID,Domanda,Opzione 1,Opzione 2,Opzione 3,Opzione 4,Risposta"
"1,Qual è il paese più grande del mondo?,Stati Uniti,Russia,India,Cina,2"
"2,Qual è la capitale del Canada?,Ottawa,Montreal,Toronto,Vancouver,1"
"3,In che anno è stata fondata l'Unione Europea?,1957,1989,1999,2001,1"
"4,Quale è la montagna più alta d'Europa?,Monte Bianco,Monte Elbrus,Monte Rosa,Monte Cervino,2"
"5,In quale continente si trova il deserto del Sahara?,Africa,Asia,America,Oceania,1"
"6,Quale è l'elemento chimico più leggero?,Carbonio,Ossigeno,Idrogeno,Elio,3"
"7,Qual è il più grande oceano del mondo?,Oceano Atlantico,Oceano Indiano,Oceano Pacifico,Oceano Artico,3"
"8,In quale città si trova la statua della libertà?,New York City,Washington D.C.,Los Angeles,Miami,1"
"9,Quale era il nome originale della città di Istanbul?,Costantinopoli,Alessandria di Troia,Efeso,Tebessa,1"
"10,In che anno è stata fondata la NASA?,1958,1969,1975,1982,1"
"11,Qual è il paese con la bandiera più antica del mondo?,Danimarca,Regno Unito,Giappone,Turchia,3"
"12,Qual è il fiume più lungo del mondo?,Rio delle Amazzoni,Nilo,Mississippi,Jangtsekiang,2"
"13,Quale artista ha dipinto la Gioconda?,Leonardo da Vinci,Raffaello Sanzio,Michelangelo Buonarroti,Vincent van Gogh,1"
"14,In che stato si trova la città di Las Vegas?,Nevada,California,Arizona,Utah,1"
"15,Qual è il santo patrono d'Italia?,San Pietro,San Giovanni Battista,San Francesco d'Assisi,San Paolo,3"
"16,Qual è il lago più grande d'Africa?,Lago di Como,Lago di Garda,Lago Vittoria,Lago di Como,3"
"17,Qual è il quarto pianeta del sistema solare?,Terra,Marte,Giove,Saturno,2"
"18,Qual è il nome della valle in cui si trova Hollywood?,Silicon Valley,Napa Valley,San Fernando Valley,Central Valley,3"
"19,Qual è la moneta ufficiale del Giappone?,Yen,Renminbi,Dollaro australiano,Dollaro americano,1"
"20,Qual è la più grande cascata d'Europa?,Cascata del Toce,Cascata delle Marmore,Cascate del Reno,Cascata del Dettifoss,2"
"21,In che anno è stata fondata Facebook?,2001,2004,2007,2010,2"
"22,Qual è il più grande deserto del mondo?,Deserto del Gobi,Deserto del Kalahari,Deserto del Sahara,Deserto dell'Arabia,3"
"23,Qual è il significato di ""ad hoc""?,per questo,per quel motivo,per l'occasione,per l'età,3"
"24,Qual è la valuta ufficiale del Giappone?,yen,dollaro,euro,peso,1"
